"station_id","lng","lat","district","count"
"C0506",121.0202,30.951,"青浦区",645
"C0507",121.0462,30.918,"松江区",875
"C0508",121.2082,30.896,"金山区",701
"C0509",121.2142,31.766,"崇明区",297
"C0510",121.2882,31.824,"崇明区",191
"C0511",121.7456,31.5628,"崇明区",850
"C0512",121.5776,31.5678,"崇明区",954
"C0513",121.4922,31.7163,"崇明区",236
"C0514",121.4562,31.6183,"崇明区",762
"C0515",121.4082,31.7693,"崇明区",261
"C0516",121.4132,31.6913,"崇明区",426
"C0517",121.5976,31.6398,"崇明区",229
"C0518",121.6566,31.5928,"崇明区",578
"C0519",121.7206,31.5218,"崇明区",816
"C0520",121.1842,31.078,"松江区",0
"C0521",121.7956,30.8648,"浦东新区",375
"C0522",121.6596,31.4038,"崇明区",538
"C0523",121.7528,30.9066,"奉贤区",409
"C0524",121.7298,30.8796,"奉贤区",392
"C0525",121.6268,30.9106,"奉贤区",780
"C0526",121.5568,30.8576,"奉贤区",430
"C0527",121.5063,30.948,"奉贤区",1021
"C0528",121.4223,31.001,"闵行区",1172
"C0529",121.4703,30.94,"奉贤区",0
"C0530",121.1983,30.9977,"松江区",1018
"C0533",121.1213,30.9827,"松江区",599
"C0534",121.1183,31.1427,"青浦区",0
"C0535",121.0103,31.1207,"青浦区",190
"C0536",121.4443,30.911,"奉贤区",823
"C0537",121.7608,30.9886,"浦东新区",666
"C0538",121.5208,31.2626,"杨浦区",2719
"C0539",121.3933,31.096,"闵行区",1702
"C0540",121.7988,30.9276,"浦东新区",0
"C0541",121.7208,30.9326,"奉贤区",547
"C0542",121.6838,30.9216,"奉贤区",563
"C0543",121.5568,30.9856,"奉贤区",724
"C0544",121.5093,30.929,"奉贤区",1489
"C0545",121.4833,30.876,"奉贤区",985
"C0546",121.4523,30.923,"奉贤区",1110
"C0548",121.7108,31.0296,"浦东新区",1204
"C0549",121.2333,31.4787,"嘉定区",150
"C0550",121.2573,31.3767,"嘉定区",1103
"C0551",121.4453,31.262,"静安区",0
"C0552",121.5368,31.2596,"杨浦区",1752
"C0553",121.2703,31.3507,"嘉定区",1563
"C0554",121.3443,31.2557,"嘉定区",7447
"C0600",121.4643,31.419,"宝山区",0
"C0601",121.4573,31.409,"宝山区",1087
"C0602",121.4293,31.201,"徐汇区",3952
"C0603",121.4983,31.237,"浦东新区",3170
"C0604",121.4613,31.232,"静安区",3315
"C0605",121.4203,31.174,"徐汇区",1896
"C0606",121.5208,31.3026,"杨浦区",0
"C0607",121.4853,31.207,"黄浦区",0
"C0608",121.4713,31.221,"黄浦区",0
"C0609",121.4423,31.229,"静安区",1105
"C0610",121.4863,31.235,"黄浦区",0
"C0611",121.4843,31.242,"黄浦区",0
"C0612",121.4903,31.232,"黄浦区",0
"C0613",121.4913,31.171,"浦东新区",3540
"C0614",121.4533,31.238,"静安区",0
"C0615",121.4283,31.234,"静安区",0
"C0616",121.5438,31.3266,"杨浦区",815
"C0617",121.2663,31.1757,"青浦区",2036
"C0618",121.6878,31.1436,"浦东新区",1190
"C0619",121.4383,31.194,"徐汇区",4677
"C0620",121.0823,31.1507,"青浦区",594
"C0621",121.8398,30.8626,"浦东新区",696
"C0622",121.7618,30.9466,"浦东新区",749
"C0623",121.0533,31.1057,"青浦区",829
"C0624",121.7518,31.0456,"浦东新区",1150
"C0625",121.6378,31.0286,"浦东新区",1025
"C0626",121.9028,30.9526,"浦东新区",315
"C0627",121.7448,31.3576,"崇明区",508
"C0628",121.8418,31.3166,"崇明区",255
"C0629",121.3713,31.122,"闵行区",6277
"C0630",121.4803,31.087,"闵行区",1345
"C0631",121.4393,31.247,"普陀区",2046
"C0632",121.4873,31.246,"虹口区",0
"C0633",121.4293,31.194,"徐汇区",2495
"C0634",121.4893,31.229,"黄浦区",3326
"C0635",121.4783,31.212,"黄浦区",2946
"C0636",121.4763,31.235,"黄浦区",5024
"C0637",121.4513,31.233,"静安区",1838
