station_id,lng,lat,district
C0756,121.4713,31.268,虹口区
C0757,121.4243,31.257,普陀区
C0758,121.4453,31.254,普陀区
C0759,121.3903,31.241,普陀区
C0760,121.4203,31.245,普陀区
C0761,121.4353,31.247,普陀区
C0762,121.6888,31.1846,浦东新区
C0763,121.6998,31.1936,浦东新区
C0764,121.1233,31.1707,青浦区
C0765,121.4773,31.192,黄浦区
C0766,121.4733,31.185,浦东新区
C0767,121.2743,31.2857,嘉定区
C0768,121.6138,31.2156,浦东新区
C0769,121.5738,31.2706,浦东新区
C0770,121.5528,31.2526,浦东新区
C0771,121.5758,31.2096,浦东新区
C0772,121.5188,31.2136,浦东新区
C0773,121.6138,31.2476,浦东新区
C0774,121.6158,31.2556,浦东新区
C0775,121.5308,31.1966,浦东新区
C0776,121.5528,31.1916,浦东新区
C0777,121.3923,31.213,长宁区
C0778,121.5748,31.1086,浦东新区
C0779,121.5158,31.3076,杨浦区
C0780,121.5208,31.2766,杨浦区
C0781,121.5358,31.2656,杨浦区
C0782,121.4983,31.28,杨浦区
C0783,121.5083,31.279,杨浦区
C0784,121.4723,31.274,虹口区
C0785,121.5318,31.2766,杨浦区
C0786,121.5053,31.274,杨浦区
C0787,121.5063,31.297,杨浦区
C0788,121.4953,31.294,虹口区
C0789,121.4693,31.247,静安区
C0790,121.4743,31.252,静安区
C0791,121.4763,31.245,静安区
C0792,121.4663,31.239,黄浦区
C0793,121.4643,31.245,静安区
C0794,121.4443,31.305,静安区
C0795,121.4373,31.277,静安区
